Dato	Conteo
1	48
2	95
3	84
4	75
5	84
6	76
7	97
8	78
9	95
10	84
11	95
12	84
13	87
14	85
15	89
16	89
17	86
18	84
19	98
20	102
21	87
22	89
23	82
24	83
25	85
26	73
27	88
28	100
29	91
30	86
31	64
32	90
33	89
34	87
35	93
36	79
37	79
38	86
39	79
40	98
41	81
42	78
43	85
44	70
45	84
46	88
47	88
48	82
49	74
50	83
51	78
52	96
53	92
54	88
55	75
56	71
57	99
58	81
59	92
60	98
61	73
62	90
63	75
64	94
65	107
66	91
67	74
68	83
69	89
70	95
71	103
72	79
73	99
74	103
75	86
76	77
77	95
78	87
79	94
80	89
81	91
82	85
83	81
84	86
85	89
86	85
87	86
88	109
89	81
90	73
91	85
92	87
93	88
94	92
95	85
96	87
97	81
98	82
99	76
100	101
